model,dataset,feature_set,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_f1,train_auc,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_f1,val_auc,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_auc
lr,master-mini,1,0.7017071234119783,0.6923557650641164,0.7110612645450722,0.7782324058919804,0.7431320358477205,0.749605499361877,0.7076965065502183,0.6976670680313064,0.720881427072403,0.7806818181818181,0.7495908346972177,0.7561964977799518,0.6981254473872585,0.6908301571401296,0.6989762801134993,0.7779371697490093,0.7363459641102287,0.7494243177114106
rf,master-mini,1,0.9768318965517241,0.9765632552058159,0.979180520742749,0.9790302782324058,0.9791053937239457,0.9975625423045464,0.6847707423580786,0.6788410058484562,0.7148095010361868,0.727922077922078,0.7213062012386391,0.7433292390556463,0.6756190721188261,0.6715007021058661,0.6929725760274686,0.7206747440554822,0.7065522309153596,0.7373842695430217
xgb,master-mini,1,0.7608609346642469,0.7575944017686608,0.7825092738452157,0.787592062193126,0.7850424409268181,0.8425906923409214,0.7275291120815138,0.7230581297841232,0.7552831101790611,0.7600649350649351,0.7576664778703779,0.7951738981734324,0.7193316034359342,0.7161222107659243,0.7347206448435631,0.7544429078599736,0.7444511769767762,0.7874815095998495
lr,master-small,1,0.6992204129416774,0.6916165142494425,0.7088553880513679,0.7682755615801704,0.7373703346614472,0.7499482929747157,0.6977745872218234,0.6916819595645411,0.6987915407854985,0.771,0.7331220285261489,0.749863230624676,0.6995682712956335,0.6928175771252167,0.7022978380455257,0.7734220194848085,0.7361459689103902,0.750832836536624
rf,master-small,1,0.9585594934014474,0.9584209181749761,0.9646045685649646,0.9598179705654531,0.9622053167352188,0.9930637078082742,0.6708094041636755,0.6674584629341628,0.687978714827058,0.7110833333333333,0.6993402450518379,0.7311893346617419,0.6746404124910522,0.6709434075903546,0.693850983612303,0.7150862780713342,0.7043086032298642,0.7352804804730133
xgb,master-small,1,0.7449845679012346,0.7431582354902854,0.7714867217576813,0.7615704879938032,0.7664965344182817,0.8240016688641618,0.7216439339554918,0.7197768921721099,0.740258663571547,0.7440833333333333,0.7421660709832931,0.7902463752268014,0.7225695687186829,0.720216020914176,0.7419242614932826,0.748317784015852,0.7451073078247109,0.7923321927081955
lr,master-medium,1,0.6988815616510384,0.692886243481813,0.7071557538847258,0.7615046744036106,0.7333246021236243,0.7497167976646122,0.698076923076923,0.6920123598522312,0.7127437752974365,0.7538920601971977,0.7327406846983167,0.7485143880886813,0.7005497270937724,0.69476180889175,0.7070522771236836,0.7638705416116248,0.7343640318783997,0.7508948906882121
rf,master-medium,1,0.9381791692226799,0.9380754093937796,0.946615495517448,0.9392629754996776,0.9429249027847307,0.9857429359628831,0.6725605413105413,0.6693620385544254,0.7017020586804993,0.7019979242345615,0.7018499602769266,0.7338159651803215,0.6734855941302792,0.6705669448429243,0.6960914108805019,0.7054161162483488,0.7007227433492235,0.7365083587059413
xgb,master-medium,1,0.7350527999298923,0.7338079486452981,0.7606613466640716,0.7480556898774984,0.7543058567778833,0.8101085067936966,0.7246972934472935,0.7236360763083108,0.7568769009659414,0.7344641930461858,0.7455021316521538,0.794445401885129,0.7262325518969219,0.7248194504288104,0.7502401035577083,0.7416921235138706,0.7459416258407373,0.7957699377596614
lr,master-large,1,0.7000824271802262,0.6946506704302227,0.7078109525128258,0.7599429527495565,0.7329511348088238,0.7508191417921661,0.6971227134146342,0.6921750358197294,0.7027564054679913,0.757325476558475,0.7290212093268345,0.7480456822323711,0.6999010155690766,0.6946608428753509,0.7088342841133594,0.7572294005944518,0.7322330751094644,0.7495050316285269
