IMIĘ_PIERWSZE,LICZBA_WYSTĄPIEŃ
JAN,1082446
STANISŁAW,945137
PIOTR,812943
ANDRZEJ,743793
KRZYSZTOF,734315
JÓZEF,689208
TOMASZ,580759
PAWEŁ,572905
MICHAŁ,561157
ADAM,491176
TADEUSZ,479266
MARCIN,474935
MAREK,455942
JERZY,450472
JAKUB,427872
GRZEGORZ,425872
HENRYK,400839
ZBIGNIEW,397448
ŁUKASZ,396864
WOJCIECH,387811
KAZIMIERZ,384843
MATEUSZ,383542
RYSZARD,366483
MARIAN,339342
DARIUSZ,318691
WŁADYSŁAW,315126
MARIUSZ,311103
ANTONI,296034
FRANCISZEK,295563
ROBERT,285871
MACIEJ,282593
RAFAŁ,275828
JACEK,264920
JANUSZ,260458
KAMIL,256071
ROMAN,254231
DAWID,240796
SZYMON,239622
MIROSŁAW,235825
EDWARD,225665
KACPER,223992
MIECZYSŁAW,222669
SŁAWOMIR,215807
JAROSŁAW,214783
WIESŁAW,213873
CZESŁAW,209263
BARTOSZ,205077
ARTUR,203924
ZDZISŁAW,203437
STEFAN,202238
ALEKSANDER,199977
KAROL,196703
SEBASTIAN,192214
DAMIAN,189526
PATRYK,182794
DANIEL,176675
PRZEMYSŁAW,173268
EUGENIUSZ,164361
FILIP,164260
ZYGMUNT,161728
LESZEK,157448
ADRIAN,151187
WALDEMAR,145402
ARKADIUSZ,144298
MIKOŁAJ,142969
BOGDAN,142608
DOMINIK,138564
WIKTOR,134863
BARTŁOMIEJ,128480
KRYSTIAN,117281
RADOSŁAW,108180
KONRAD,101266
BRONISŁAW,96772
HUBERT,94764
WACŁAW,92688
LEON,92382
BOLESŁAW,90341
ZENON,89531
BOGUSŁAW,88773
WŁODZIMIERZ,88029
WITOLD,87694
IGOR,86781
IRENEUSZ,79258
OSKAR,74503
MARCEL,72134
MAKSYMILIAN,71546
SYLWESTER,71073
OLEKSANDR,69876
JULIAN,66248
MIŁOSZ,61589
IGNACY,59773
EDMUND,58457
NIKODEM,53686
OLIWIER,52113
CEZARY,49896
ALAN,49622
SERHII,48149
NORBERT,45514
ANDRII,43947
FELIKS,43349
GABRIEL,42300
LUDWIK,42082
VOLODYMYR,41164
LECH,40318
EMIL,37407
BERNARD,36874
LUCJAN,35806
BŁAŻEJ,34342
TYMOTEUSZ,34200
FABIAN,34195
ERYK,33648
TYMON,33037
DMYTRO,31393
ALOJZY,30755
IVAN,29670
ALFRED,29194
ROMUALD,27377
MYKOLA,26698
SZCZEPAN,26477
VITALII,26060
VASYL,24862
IHOR,24817
WINCENTY,23897
YURII,23848
OLEH,21830
MAKSYM,21792
KSAWERY,21499
REMIGIUSZ,21331
NATAN,20670
MYKHAILO,19818
GERARD,19595
BOHDAN,19291
VIKTOR,19169
BORYS,18938
TEODOR,18424
LEONARD,18237
OLAF,18230
KAJETAN,17727
BOGUMIŁ,17404
SEWERYN,16925
ALBERT,16850
JOACHIM,16230
KONSTANTY,15924
VLADYSLAV,15738
LESŁAW,15704
KUBA,15531
ADOLF,15286
ALFONS,15147
WALENTY,14946
GRACJAN,14620
ERNEST,14547
TOBIASZ,14478
OLEKSII,14471
BRUNO,14413
RUDOLF,14402
RUSLAN,13813
BENEDYKT,13529
HIERONIM,13117
FLORIAN,12263
KORNEL,11788
OLIVIER,11418
JULIUSZ,11333
ALEXANDER,10955
PAVLO,10869
ARTEM,10736
DENYS,10625
ZYGFRYD,10562
AUGUSTYN,10561
RAJMUND,10552
JĘDRZEJ,10532
VADYM,10495
ANATOLII,10481
TEOFIL,9892
ALEX,9884
GUSTAW,9537
LEOPOLD,9486
YAROSLAV,9446
DAVID,9330
ALBIN,9170
ALIAKSANDR,9107
PETRO,9083
YEVHEN,8733
BRUNON,8687
ALEKSY,8668
KLAUDIUSZ,8310
ANDREI,8211
WILHELM,8070
FRYDERYK,7983
ALEKS,7949
VALERII,7843
ANTON,7728
ERWIN,7726
YEVHENII,7693
DORIAN,7582
TARAS,7357
MARCELI,7332
OLIVER,7232
MARTIN,6917
CYPRIAN,6884
WALERIAN,6883
NATANIEL,6857
DENIS,6583
SIARHEI,6470
HERBERT,6382
MICHAEL,6338
KLEMENS,6334
VIACHESLAV,6309
MILAN,5993
STANISLAV,5973
SAMUEL,5934
MIESZKO,5920
BRAJAN,5882
SERGIUSZ,5831
DZMITRY,5719
OLEG,5367
KOSTIANTYN,5362
KEVIN,5034
WALTER,4983
IWO,4899
FERDYNAND,4893
GINTER,4817
BENIAMIN,4811
ANATOL,4798
WAWRZYNIEC,4784
ARIEL,4784
EMILIAN,4783
HELMUT,4764
STEPAN,4582
KORDIAN,4541
IZYDOR,4527
ROLAND,4490
BAZYLI,4487
VALENTYN,4456
JEREMI,4419
EDWIN,4380
OLGIERD,4380
LONGIN,4274
SERGII,4169
NAZAR,4162
ILLIA,4156
PAVEL,4067
EMANUEL,3877
MAXIMILIAN,3837
WERNER,3806
PATRICK,3799
EDUARD,3749
AMADEUSZ,3716
ARNOLD,3713
VICTOR,3677
THOMAS,3588
LECHOSŁAW,3528
MANFRED,3353
LEONID,3320
OSCAR,3304
KEWIN,3256
LEO,3239
MARK,3225
NICOLAS,3222
ALIAKSEI,3207
MAURYCY,3194
DIONIZY,3135
ANDRIY,3099
OLIWER,3076
EWALD,3064
ŁUCJAN,3056
HORST,2950
GIORGI,2933
PETER,2917
MAKSIM,2864
BONIFACY,2834
GERHARD,2758
YURY,2672
OKTAWIAN,2663
YAUHENI,2646
VITALI,2642
ROSTYSLAV,2632
ULADZIMIR,2611
JEREMIASZ,2588
DANYLO,2563
MIRON,2558
HERONIM,2544
KORNELIUSZ,2515
ROCH,2486
KRYSPIN,2455
CHRISTIAN,2399
KASPER,2376
NATHAN,2374
BENJAMIN,2373
MYKYTA,2351
TYTUS,2338
JACENTY,2330
NAZARII,2327
MIKHAIL,2314
JONASZ,2306
ZIEMOWIT,2276
ELIGIUSZ,2253
IURII,2240
DYMITR,2218
JACOB,2214
HENNADII,2191
IHAR,2181
KYRYLO,2166
