IMIĘ_PIERWSZE,LICZBA_WYSTĄPIEŃ
ANNA,1329528
MARIA,1003792
ZOFIA,711462
KATARZYNA,680973
MAŁGORZATA,625398
KRYSTYNA,605663
BARBARA,596948
AGNIESZKA,595436
JANINA,579442
EWA,537155
ELŻBIETA,519107
HELENA,496811
TERESA,473398
MAGDALENA,453448
JADWIGA,453299
JOANNA,444488
MARIANNA,443968
ALEKSANDRA,428941
IRENA,401646
MONIKA,398171
DANUTA,387297
STANISŁAWA,359854
HALINA,358697
MARTA,335323
NATALIA,326571
JULIA,323930
KAROLINA,314077
BEATA,290624
DOROTA,285991
ALICJA,283533
GRAŻYNA,262446
JOLANTA,261001
IWONA,243301
WIKTORIA,241580
PAULINA,237315
BOŻENA,227657
URSZULA,226977
ZUZANNA,225759
JUSTYNA,222565
HANNA,208994
RENATA,201997
EMILIA,195312
AGATA,191410
WANDA,190261
WERONIKA,188872
SYLWIA,187030
JÓZEFA,185393
STEFANIA,183309
GENOWEFA,175515
PATRYCJA,170898
MAJA,170498
IZABELA,168654
WŁADYSŁAWA,155655
ANETA,154534
OLIWIA,152389
KAZIMIERA,152338
EWELINA,151105
MARTYNA,142451
GABRIELA,141576
KLAUDIA,140355
WIESŁAWA,137858
MARZENA,133640
DOMINIKA,124548
LENA,122932
KINGA,121463
AMELIA,121112
ANIELA,118969
EDYTA,118934
KAMILA,113087
BRONISŁAWA,110700
ANTONINA,109838
ALINA,109772
LUCYNA,109112
LIDIA,99471
CZESŁAWA,97727
REGINA,92576
LEOKADIA,91558
HENRYKA,90994
MIROSŁAWA,87902
MARIOLA,86948
ŁUCJA,79298
SABINA,77206
NIKOLA,76019
WIOLETTA,74770
MICHALINA,74135
DARIA,74015
MILENA,73705
CECYLIA,71346
BOGUMIŁA,70832
OLGA,68944
FRANCISZKA,67326
EUGENIA,66189
ANGELIKA,65897
LAURA,63600
ROZALIA,60508
BOGUSŁAWA,56481
SANDRA,54429
ILONA,53899
GERTRUDA,51875
MARLENA,49367
NADIA,49106
KORNELIA,48940
ANITA,46515
NINA,42657
LILIANA,42297
IGA,42006
MARCELINA,41281
JAGODA,40207
ZDZISŁAWA,39762
POLA,39278
ANASTAZJA,38749
DANIELA,37326
KLARA,37120
WIOLETA,35095
RÓŻA,33752
ADRIANNA,33392
KARINA,32728
ROKSANA,32138
DAGMARA,32108
TETIANA,30981
NATALIIA,30977
MALWINA,30873
SARA,29875
PELAGIA,28551
APOLONIA,28477
OLENA,28443
IRYNA,27825
