method,n,p,rho,loss,time,it,conv,num_non_zero
coord,100,1000,0.0,94.58374208264114,1.1709474245707194,94.26666666666667,1.0,69.26666666666667
coord_shuffle,100,1000,0.0,94.58374209482731,1.690786107381185,132.86666666666667,1.0,69.26666666666667
LARS,100,1000,0.0,94.58374205407522,0.013778241475423177,,,69.26666666666667
coord,100,1000,0.1,88.06248188894378,1.1166962782541912,89.26666666666667,1.0,64.8
coord_shuffle,100,1000,0.1,88.06248190002842,1.5466203053792318,123.8,1.0,64.8
LARS,100,1000,0.1,88.06248186127881,0.01307524045308431,,,64.8
coord,100,1000,0.2,90.32329286906221,1.4319203853607179,111.2,1.0,64.13333333333334
coord_shuffle,100,1000,0.2,90.32329288363754,1.5369126001993816,122.86666666666666,1.0,64.13333333333334
LARS,100,1000,0.2,90.32329284072897,0.012086025873819987,,,64.13333333333334
coord,100,1000,0.5,85.54231110902565,7.179740921656291,567.1333333333333,0.8666666666666667,51.06666666666667
coord_shuffle,100,1000,0.5,85.54230498134804,1.4791584650675456,112.73333333333333,1.0,51.06666666666667
LARS,100,1000,0.5,85.54230494793988,0.00965444246927897,,,51.06666666666667
coord,100,1000,0.9,57.42364215501951,1.4953431288401287,116.46666666666667,1.0,5.333333333333333
coord_shuffle,100,1000,0.9,57.42364215262191,1.0516251087188722,83.13333333333334,1.0,5.333333333333333
LARS,100,1000,0.9,57.42364212335081,0.0025971253712972005,,,5.333333333333333
coord,100,1000,0.95,46.775756702583486,1.790530506769816,140.93333333333334,1.0,3.4
coord_shuffle,100,1000,0.95,46.77575671864273,1.3694165229797364,106.6,1.0,3.4
LARS,100,1000,0.95,46.77575666341431,0.0023214975992838544,,,3.4
coord,100,5000,0.0,83.37058273387053,25.15684297879537,186.0,1.0,78.93333333333334
coord_shuffle,100,5000,0.0,83.37058276225798,30.425668668746948,225.13333333333333,1.0,78.93333333333334
LARS,100,5000,0.0,83.3705826658056,0.022065242131551106,,,78.93333333333334
coord,100,5000,0.1,79.05658713761001,26.580931870142617,196.73333333333332,1.0,79.13333333333334
coord_shuffle,100,5000,0.1,79.05658716980584,31.737317434946696,235.86666666666667,1.0,79.13333333333334
LARS,100,5000,0.1,79.05658706509442,0.02252675692240397,,,79.13333333333334
coord,100,5000,0.2,82.47150868009388,28.468427578608196,211.26666666666668,1.0,75.33333333333333
coord_shuffle,100,5000,0.2,82.47150872141023,33.16557742754618,244.86666666666667,1.0,75.33333333333333
LARS,100,5000,0.2,82.47150861633332,0.02055363655090332,,,75.26666666666667
coord,100,5000,0.5,76.25176105486524,103.88310844103495,771.2666666666667,0.5333333333333333,65.8
coord_shuffle,100,5000,0.5,76.25166996951415,29.278703864415487,217.46666666666667,1.0,65.86666666666666
LARS,100,5000,0.5,76.2516698804665,0.017450475692749025,,,65.86666666666666
coord,100,5000,0.9,57.531845854277535,51.817869901657104,384.53333333333336,0.9333333333333333,9.266666666666667
coord_shuffle,100,5000,0.9,57.53183578398921,14.20837828318278,104.13333333333334,1.0,9.2
LARS,100,5000,0.9,57.53183574562789,0.004626274108886719,,,9.2
coord,100,5000,0.95,44.35683479305721,27.682270749409994,204.2,1.0,4.4
coord_shuffle,100,5000,0.95,44.356834807586296,16.70437110265096,122.6,1.0,4.4
LARS,100,5000,0.95,44.35683473244446,0.003914546966552734,,,4.4
coord,1000,100,0.0,600.9590825641976,0.011973555882771809,6.733333333333333,1.0,47.13333333333333
coord_shuffle,1000,100,0.0,600.9590825642584,0.01569677988688151,9.066666666666666,1.0,47.13333333333333
LARS,1000,100,0.0,600.9590825641532,0.006672461827596028,,,47.13333333333333
coord,1000,100,0.1,599.4325846468795,0.03692700068155925,23.333333333333332,1.0,44.53333333333333
coord_shuffle,1000,100,0.1,599.4325846440372,0.019517056147257485,11.6,1.0,44.53333333333333
LARS,1000,100,0.1,599.4325846438619,0.0063656965891520185,,,44.53333333333333
coord,1000,100,0.2,592.2610998161348,0.0870166301727295,57.4,1.0,42.733333333333334
coord_shuffle,1000,100,0.2,592.2610998037576,0.023093461990356445,14.4,1.0,42.733333333333334
LARS,1000,100,0.2,592.2610998033039,0.006053320566813151,,,42.733333333333334
coord,1000,100,0.5,592.9553311098023,0.3996718883514404,271.1333333333333,1.0,34.8
coord_shuffle,1000,100,0.5,592.9553310302986,0.040542205174764,25.8,1.0,34.8
LARS,1000,100,0.5,592.95533102884,0.005126365025838216,,,34.8
coord,1000,100,0.9,499.45842578549883,0.8762847264607747,576.7333333333333,1.0,12.866666666666667
coord_shuffle,1000,100,0.9,499.45842562220747,0.16366071701049806,106.66666666666667,1.0,12.866666666666667
LARS,1000,100,0.9,499.45842559786837,0.0026546001434326174,,,12.866666666666667
coord,1000,100,0.95,444.88712259031655,0.355789852142334,235.2,1.0,5.266666666666667
coord_shuffle,1000,100,0.95,444.88712258646956,0.24386836687723795,156.66666666666666,1.0,5.266666666666667
LARS,1000,100,0.95,444.8871225212121,0.0018369833628336589,,,5.266666666666667
coord,5000,100,0.0,2242.623046842118,0.0229305903116862,5.0,1.0,54.8
coord_shuffle,5000,100,0.0,2242.6230468421327,0.027338759104410807,6.533333333333333,1.0,54.8
LARS,5000,100,0.0,2242.6230468421154,0.009098291397094727,,,54.8
coord,5000,100,0.1,2227.914931600589,0.10688343048095703,28.933333333333334,1.0,51.0
coord_shuffle,5000,100,0.1,2227.914931597231,0.042875782648722334,11.0,1.0,51.0
LARS,5000,100,0.1,2227.9149318814475,0.008392969767252604,,,50.93333333333333
coord,5000,100,0.2,2232.66846273921,0.25605386098225913,71.53333333333333,1.0,49.4
coord_shuffle,5000,100,0.2,2232.6684627232403,0.05126949946085612,13.466666666666667,1.0,49.4
LARS,5000,100,0.2,2232.668462732258,0.008124955495198568,,,49.333333333333336
coord,5000,100,0.5,2214.590550978561,1.3347846031188966,352.4,1.0,40.93333333333333
